date,risk_prob,predicted_incident,failed_remote_logins,new_external_ips,suspicious_dns_queries,critical_vulnerabilities,mean_patch_age_days,high_severity_edr_alerts,ot_scan_attempts,high_relevance_threat_reports,vendor_access_sessions,after_hours_admin_actions
2026-10-19,0.98294874498662,1,38,12,28,13,91.7,12,9,8,8,8
2026-10-16,0.9824406938476616,1,55,14,38,9,84.5,11,13,12,13,6
2026-10-14,0.9821641489116693,1,35,6,21,10,75.7,8,10,5,6,8
2026-10-15,0.9786764702750171,1,39,8,35,8,61.8,5,11,6,8,7
2026-10-18,0.9755898654643862,1,42,10,25,10,97.1,4,4,12,12,6
2026-10-17,0.9647120279057164,1,71,15,50,9,74.2,13,23,13,2,7
2026-10-11,0.9490662758474059,1,15,2,18,9,72.4,8,4,5,7,4
2026-10-13,0.8011986469673363,1,24,4,17,8,61.6,7,1,3,7,4
2026-10-10,0.7148376158918742,1,16,6,11,7,72.0,5,0,3,3,2
2026-10-12,0.7113864510245215,1,22,4,13,10,74.2,5,1,0,5,7
