report_id,published_at,source,title,relevance_prob,predicted_label
TRN03133,2026-08-03,Open-source Research,Industrial protocol reconnaissance observed,0.9768504359846425,1
TRN03008,2026-01-04,Open-source Research,Vendor access abused in OT intrusion,0.9762158560846389,1
TRN03084,2025-06-22,Open-source Research,Campaign targets industrial operators,0.9706115483654403,1
TRN03096,2025-06-30,Open-source Research,Vendor access abused in OT intrusion,0.9699104901900848,1
TRN03163,2026-02-22,Vendor Advisory,Vendor access abused in OT intrusion,0.9690455702404137,1
TRN03089,2025-12-15,Regional ISAC,Campaign targets industrial operators,0.9666504113280239,1
TRN03109,2026-05-08,Vendor Advisory,Campaign targets industrial operators,0.9658797583894235,1
TRN03092,2026-04-25,Vendor Advisory,Campaign targets industrial operators,0.9638152618712158,1
TRN03037,2025-11-27,Commercial Intelligence,Energy-sector malware activity,0.9637822913106336,1
TRN03159,2025-11-13,Commercial Intelligence,Industrial protocol reconnaissance observed,0.9636467928700708,1
TRN03086,2026-06-20,Regional ISAC,Industrial protocol reconnaissance observed,0.9632509037332403,1
TRN03158,2025-08-08,Commercial Intelligence,Campaign targets industrial operators,0.9632010142091108,1
TRN03142,2025-10-05,Regional ISAC,Campaign targets industrial operators,0.962944730217113,1
TRN03004,2025-06-20,Regional ISAC,Industrial protocol reconnaissance observed,0.9625524917999186,1
TRN03139,2026-03-24,Open-source Research,Industrial protocol reconnaissance observed,0.9606703330569659,1
